movie_id,actor_id,role
249,970,Dog Kelly
250,200,Judith
250,108,Beth
250,973,Bolek Krupa
250,971,Rocky Holeczek
250,972,Michael
251,14,Isabella de la Fontaine
251,375,Anne Eisenhower
251,974,Sergei 
251,975,Olivier de la Fontaine
251,976,Kitty Potter
252,977,Valentine
252,978,Le juge
252,979,Karin
252,980,Auguste
252,981,Le photographe 
253,985,Sandrine
253,984,Olivier
253,745,Dominique
253,982,Julie
253,983,Karol Karol
254,983,Karol Karol
254,745,Dominique
254,986,Mikolaj
254,987,Jurek
254,988,Le notaire
255,989,Cai Chunzhi
255,990,Niu Bao
255,991,Dihong
255,992,Butler
255,993,Old Master Xu
256,997,Dad
256,996,Mom
256,937,Julia
256,995,Donnie
256,994,Stuart Smalley
