,movie_id,language_id
3710,2424,65
3711,2424,91
3712,2424,30
3713,2425,91
3714,2425,30
3715,2426,30
3716,2427,30
3717,2428,30
3718,2428,38
3719,2429,30
3720,2430,30
3721,2430,91
3722,2431,30
3723,2432,91
3724,2432,30
3725,2433,30
3726,2434,30
3727,2435,30
3728,2436,30
3729,2437,30
3730,2437,34
3731,2438,30
3732,2439,30
3733,2440,30
3734,2441,30
3735,2442,30
3736,2443,30
3737,2444,5
3738,2444,30
3739,2445,30
3740,2446,30
3741,2446,34
3742,2447,30
3743,2447,13
3744,2447,91
3745,2447,34
3746,2448,76
3747,2448,83
3748,2448,30
3749,2448,38
3750,2448,49
3751,2449,91
3752,2449,34
3753,2449,30
3754,2450,30
3755,2451,30
3756,2451,34
3757,2452,34
3758,2452,30
3759,2453,61
3760,2453,30
3761,2454,91
3762,2454,83
3763,2455,30
3764,2456,30
3765,2457,30
3766,2458,30
3767,2458,49
3768,2459,30
3769,2460,30
3770,2461,52
3771,2461,91
3772,2461,30
3773,2461,49
3774,2462,30
3775,2463,30
3776,2464,30
3777,2465,30
3778,2466,34
3779,2466,49
3780,2466,30
3781,2466,38
3782,2467,30
3783,2468,91
3784,2468,30
3785,2469,30
3786,2469,49
3787,2470,30
3788,2471,30
3789,2472,30
3790,2473,30
3791,2473,34
3792,2474,30
3793,2475,30
3794,2476,30
3795,2476,83
3796,2476,91
3797,2477,30
3798,2478,30
3799,2479,30
3800,2480,30
3801,2481,30
3802,2482,30
3803,2483,30
3804,2484,30
3805,2485,30
3806,2485,21
3807,2486,30
3808,2487,30
3809,2488,12
3810,2488,75
3811,2489,30
3812,2490,30
3813,2491,30
3814,2492,30
3815,2493,30
3816,2494,30
3817,2495,30
3818,2496,30
3819,2497,30
3820,2498,83
3821,2498,21
3822,2499,91
3823,2499,30
3824,2499,34
3825,2499,43
3826,2500,30
3827,2501,30
3828,2502,30
3829,2503,91
3830,2503,30
3831,2504,30
3832,2505,30
3833,2506,27
3834,2506,30
3835,2507,30
3836,2508,30
3837,2509,91
3838,2509,30
3839,2510,30
3840,2511,30
3841,2511,91
3842,2512,30
3843,2513,30
3844,2514,30
3845,2515,30
3846,2516,34
3847,2516,30
3848,2516,60
3849,2516,100
3850,2517,30
3851,2518,30
3852,2519,30
3853,2520,30
3854,2521,38
3855,2521,83
3856,2522,30
3857,2523,30
3858,2524,30
3859,2525,65
3860,2525,30
3861,2525,91
3862,2526,30
3863,2527,30
3864,2528,30
3865,2529,49
3866,2529,30
3867,2530,8
3868,2530,30
3869,2531,30
3870,2531,34
3871,2532,30
3872,2532,91
3873,2533,24
3874,2533,85
3875,2533,30
3876,2533,38
3877,2534,30
3878,2534,38
3879,2534,34
3880,2534,49
3881,2535,49
3882,2535,50
3883,2535,30
3884,2536,30
3885,2537,50
3886,2537,30
3887,2538,91
3888,2538,30
3889,2539,91
3890,2539,83
3891,2539,30
3892,2540,30
3893,2541,30
3894,2541,39
3895,2542,30
3896,2543,30
3897,2543,91
3898,2543,18
3899,2544,42
3900,2544,30
3901,2544,91
3902,2545,103
3903,2545,30
3904,2546,30
3905,2546,34
3906,2547,30
3907,2548,30
3908,2549,38
3909,2549,42
3910,2549,30
3911,2549,34
3912,2550,30
3913,2551,30
3914,2552,30
3915,2552,34
3916,2552,83
3917,2552,43
3918,2553,30
3919,2554,30
3920,2555,38
3921,2555,34
3922,2555,108
3923,2555,91
3924,2555,30
3925,2556,30
3926,2557,49
3927,2557,30
3928,2558,30
3929,2558,91
3930,2559,38
3931,2559,30
3932,2560,30
3933,2561,30
3934,2562,30
3935,2563,50
3936,2564,30
3937,2565,30
3938,2566,30
3939,2567,30
3940,2568,34
3941,2568,30
3942,2568,91
3943,2568,78
3944,2569,30
3945,2570,30
3946,2571,30
3947,2572,30
3948,2573,30
3949,2574,30
3950,2575,30
3951,2576,30
3952,2577,30
3953,2578,30
3954,2579,49
3955,2579,30
3956,2580,49
3957,2580,30
3958,2581,50
3959,2581,30
3960,2582,30
3961,2583,30
3962,2584,30
3963,2585,30
3964,2586,30
3965,2587,30
3966,2588,30
3967,2588,91
3968,2589,30
3969,2589,34
3970,2589,41
3971,2590,30
3972,2590,49
3973,2590,38
3974,2591,30
3975,2592,30
3976,2593,30
3977,2594,30
3978,2594,34
3979,2595,78
3980,2595,30
3981,2596,30
3982,2596,55
3983,2596,34
3984,2597,49
3985,2597,30
3986,2598,30
3987,2598,41
3988,2599,30
3989,2600,30
3990,2601,30
3991,2602,30
3992,2603,30
3993,2604,30
3994,2605,38
3995,2605,34
3996,2605,30
3997,2606,30
3998,2606,83
3999,2607,30
4000,2608,89
4001,2608,61
